"x","y","h15ptot"
554050,160850,3
554150,146550,86
554350,154550,3
554150,159650,3
554150,148550,3
554250,164750,3
554950,146450,5
554450,147750,3
554250,162650,3
554250,166150,3
553550,165350,29
553650,157450,3
553750,167050,3
553650,161650,3
553850,158050,3
551650,170550,9
551650,167350,3
551650,158350,3
551850,162550,3
551850,167550,3
551250,158050,3
551350,159650,3
551650,167450,8
551750,167450,16
552050,146850,3
553350,148050,13
553050,148350,8
553050,163650,24
553350,156050,19
552350,157650,6
552350,166150,13
552750,158150,5
552750,157850,17
553050,146850,11
553050,147350,3
552450,146850,19
552450,155450,3
552450,146750,3
553550,168050,3
552950,146850,9
553250,159550,3
552650,157750,3
553250,148150,3
553450,159950,3
550750,163350,3
551050,152350,3
551450,169050,3
551750,157850,3
550750,163250,3
551450,148750,4
551550,151150,3
551750,162550,3
551850,162950,3
550850,146950,10
555050,163450,11
554950,148350,4
554950,153650,3
555050,146750,4
527650,166650,3
528450,152550,3
528450,163850,3
539450,150750,3
513250,144050,3
536250,157050,3
546550,160550,3
541250,167150,3
529350,165550,3
524550,161550,3
524550,152450,3
526150,166050,3
549750,161450,3
513150,151350,3
512350,142950,3
528150,163250,3
524350,150950,8
551950,161350,3
550150,169250,3
542050,154150,3
549450,149350,3
554350,161850,3
554950,148450,3
543250,150050,3
553850,154150,3
517950,148050,19
545250,164750,3
520550,152650,3
543950,152150,3
542050,160950,3
538050,159650,3
538650,168150,3
514050,168850,3
550950,152750,3
515250,145850,9
515250,168750,3
515650,146750,11
516550,148850,3
517450,146850,18
515350,148850,3
515750,146950,3
516950,148250,3
517650,150350,23
517950,148350,32
518350,148650,3
518350,156150,3
518350,170850,3
518450,148050,9
518650,161150,3
519750,171450,11
519850,149350,3
521750,152750,16
521750,148850,28
523250,147850,4
523350,158850,18
518750,160850,3
523850,147550,3
523950,150450,3
520450,149950,5
524150,148650,20
524250,148850,20
519050,149350,6
519150,169550,3
520550,151050,3
523450,154450,3
519250,151250,32
519250,149350,4
520850,166350,4
520950,146650,3
522150,152550,4
522250,147050,3
524050,148350,4
524050,150650,25
524050,155450,6
519250,147150,3
519350,151250,26
519350,150050,5
521050,166750,3
522250,155750,3
522350,152650,5
522350,147650,10
524350,148550,41
523550,158750,3
523550,147350,3
519450,149550,3
519550,163350,3
521350,151650,5
521350,163450,5
519550,150050,3
521450,166750,3
521550,163450,9
521650,146950,9
523650,147650,38
519650,147050,3
515150,145250,6
515950,146450,8
517050,149650,3
515150,145850,4
515150,154150,3
515550,147250,11
516050,148450,3
512750,142550,3
512850,143250,3
513850,146750,16
514750,169150,3
514850,145650,8
514850,152150,3
513250,151850,4
513350,151350,11
514050,166850,3
514150,168850,12
514350,166950,3
514950,169350,3
512050,145850,20
513450,169350,3
512150,152750,3
514650,145850,24
514650,151850,4
514650,147650,3
512350,143350,3
512450,145950,6
514950,155550,3
515050,154250,4
512550,142450,3
512650,143350,3
529850,163050,7
530250,153650,9
530250,161750,9
530250,162050,41
530250,151850,9
530250,152150,3
530450,152050,15
530550,159350,3
532650,153650,7
532650,171050,3
531150,160750,10
532150,154450,3
532650,157850,10
530750,161550,5
532850,151750,3
532850,151550,3
530850,161050,9
532250,156350,8
532250,152150,8
530850,151950,44
530850,159250,9
530850,154450,10
532750,153150,5
532950,160850,8
532950,158750,4
530950,158750,8
533150,151850,28
533150,170350,6
533150,151650,4
533150,160150,10
530950,154550,6
530950,161350,16
531650,163550,4
532950,160450,5
532550,151950,5
532050,155550,17
529750,167550,3
530050,163050,4
524850,148250,3
525350,160550,12
525350,151050,3
525350,153150,3
525950,166050,3
526250,150150,73
525450,151150,7
526050,163350,9
526350,151750,8
526450,151050,9
526750,153150,3
526850,161450,6
526950,161450,7
528950,155950,3
527050,158450,3
527850,154050,5
528550,168250,6
528650,163150,58
528150,153550,16
528650,168750,6
529550,152850,3
527350,153950,3
529350,153350,3
527550,153250,7
527550,161150,3
527750,151350,36
528850,167850,23
529450,153850,3
528450,162450,4
528450,167950,7
529650,153650,3
527750,165050,3
525150,172050,3
524650,148250,16
526150,151550,3
526150,150850,3
526150,156650,3
536350,152050,47
536550,152150,64
536550,161550,12
536350,153150,13
536450,159650,3
536750,167450,3
537750,160250,20
538050,153350,131
536950,158450,5
537450,151350,102
537850,151150,31
538150,160150,13
538150,156050,5
537850,156850,11
537850,153450,118
537850,156450,6
537450,160250,3
537850,156350,5
537550,166050,4
537650,162650,12
536250,158250,3
536250,167650,3
536550,159650,3
533350,153350,22
533350,156550,3
533750,154850,23
533850,156250,16
533950,154050,46
533950,164450,5
533650,157050,19
533650,154650,39
533650,153150,122
533850,164250,5
533950,163850,3
534050,163950,16
534150,153850,174
534250,155850,3
534850,155550,3
535350,155150,5
535950,157250,29
535950,165350,16
535950,153050,84
535950,159950,15
534950,155550,5
535350,152850,5
534950,159050,3
534950,158750,3
535450,154950,12
534450,154750,47
535050,155950,3
536150,160150,18
534550,164250,3
535550,156350,3
535650,154850,22
535650,157650,44
536050,152750,20
535650,152650,39
534650,152850,36
535750,159350,3
535950,159550,3
535950,159750,3
533250,151750,9
533250,157750,5
533250,170950,5
533850,168850,3
539850,152050,35
539950,151050,54
539950,152350,10
540050,153450,10
540050,155850,3
540150,163650,3
539950,151450,17
539950,153450,5
540150,151350,9
540250,151950,40
540250,160950,3
540350,152350,38
540350,152250,47
541550,155750,5
541550,151250,3
541650,169850,3
540650,152550,38
540750,152650,48
541650,161550,11
541650,155550,3
541150,155650,3
541250,158650,3
540450,152950,6
541350,150850,57
541650,161750,4
541350,156550,13
540550,163150,13
540950,164850,3
540950,154550,3
541050,157150,3
541550,165450,3
539750,152150,46
539750,152650,47
538250,160450,8
538250,152450,55
538450,151750,96
538550,152650,27
538650,159450,10
538650,166350,6
538650,165250,70
538650,159950,9
538650,166050,3
538950,152850,34
538950,165750,3
539150,150950,22
539150,158950,3
539150,159050,6
539750,151850,10
539750,152050,46
539150,159150,3
539250,165850,9
539550,151050,10
538950,162250,5
538750,159050,3
539350,154350,13
539350,154050,71
538850,152050,116
539050,167750,8
539350,155650,11
539350,153850,6
539150,167250,3
546750,150650,3
547350,156750,3
547450,156250,6
547550,163150,3
547050,152750,3
547150,162950,5
547750,150750,3
547850,161250,6
548650,148050,3
550150,154150,3
548650,149150,3
548650,161850,3
548750,154650,35
548750,170850,3
549450,148050,16
549450,164750,3
548050,157650,3
548850,160450,26
548850,147850,3
549550,162950,3
550250,158850,7
548050,162550,3
548850,154250,3
548950,163650,3
549550,150050,3
549550,158550,3
550450,164250,3
548250,158350,3
549650,164750,3
548250,149550,6
549050,160650,11
549650,157650,12
548350,171450,3
550550,151950,3
550550,168150,35
550550,165750,3
548350,148950,3
549250,160650,3
549850,168150,3
548650,149750,7
546550,160250,5
546650,154250,4
546850,167350,3
546650,159250,3
542150,151150,9
542150,151350,4
542250,151050,11
542350,151250,9
542550,152850,3
542550,150650,16
542650,152750,5
543050,167650,10
543050,156150,10
543150,150550,6
543250,156650,7
543250,151150,3
543250,155950,7
543250,150850,3
543350,151850,8
543350,167650,3
545750,154350,23
544350,151450,3
545150,148850,26
545150,154550,4
544350,154650,3
544450,150650,7
546150,154350,6
546150,168950,7
546150,156650,3
543650,153250,3
544450,171850,5
545250,153950,4
545250,159350,3
544550,152350,3
545350,150550,4
543850,155150,3
544650,148950,3
546250,171350,5
544750,149650,9
545950,161050,3
545950,149450,7
546050,152050,3
545650,156350,4
546550,165650,3
545050,153950,3
542250,156250,9
542250,152150,3
542450,161150,17
542650,152450,3
542750,152250,8
542750,152050,4
553850,145550,11
553850,164950,6
553950,154350,27
553950,148350,3
554050,146350,50
554750,145550,92
554250,158550,12
554750,151850,3
554550,152550,3
554850,151850,8
554850,153650,3
554250,166050,3
554550,150850,4
554350,148150,13
554550,164050,3
554850,170050,3
554850,172050,3
554650,163450,7
554650,151250,27
554450,146450,95
554450,163150,3
553850,159250,3
550950,153850,3
551150,159250,3
551250,169350,10
551850,154350,3
550950,152550,3
551250,159150,3
551950,159750,3
551950,155250,3
551950,153850,3
552150,170850,5
552150,165350,3
552250,165850,3
553250,147750,8
552250,163750,3
552750,147450,7
553050,146950,13
553350,151750,3
552250,151550,3
553450,153050,8
553450,166050,6
552350,147050,7
553150,159950,3
553150,163850,7
553150,155850,3
552850,161650,3
552950,161750,18
553150,149950,3
553550,164850,3
553350,163550,3
552950,148350,16
552950,159650,3
553450,152350,3
550750,147950,7
551750,161950,4
550750,147850,3
551550,156050,3
555050,149750,6
533350,166350,3
538650,152750,4
536350,158150,3
539650,170650,3
533850,165650,3
545750,149950,3
542750,154350,3
538550,165350,37
518250,156250,3
538450,158450,3
520150,149950,3
512950,147150,3
527450,153050,3
520350,152650,3
521950,156050,3
519050,171550,3
521950,162150,3
522150,158950,3
544150,149350,3
545250,154050,3
545550,159950,3
541450,151650,3
512550,142750,3
547850,165850,3
531550,151650,13
550650,167850,3
515250,168450,3
515650,154350,6
516650,147950,3
517550,148750,4
515350,145450,5
515850,146350,13
517650,150450,7
517750,152550,3
518250,147950,11
518250,156050,7
522950,147150,3
523050,155950,3
523150,158550,4
518650,161350,12
518650,161250,5
519750,149950,22
521750,147350,4
519950,154250,3
520050,149150,3
520150,162450,3
521850,151550,3
523750,150250,3
523850,151850,3
521950,148650,3
524150,150650,18
519050,150550,3
520750,166550,7
523450,158650,5
520850,162150,3
522250,153050,3
524050,147850,36
524050,153850,3
519250,149250,3
521150,162150,3
522250,156050,3
522350,147150,3
521150,164050,3
521250,163450,3
523550,154250,3
519550,149950,44
521350,164150,3
521350,166550,3
524150,148250,6
521450,148650,12
522650,158950,7
524450,166750,3
519650,149150,3
521650,147150,6
522750,151650,3
522750,159150,4
522850,152950,3
522850,158850,3
522950,155850,3
523650,148150,3
515150,145750,7
515150,145650,3
515450,154450,16
515950,146850,10
517050,148450,3
517150,148050,6
515550,146150,34
516050,152350,3
512750,168250,11
512950,144450,7
513050,144050,10
513050,143950,4
513150,152050,6
513150,150250,8
513950,150150,3
513950,169150,15
513950,148150,3
514850,145350,20
514050,148250,3
514250,144550,3
514850,146350,3
514950,154850,10
513450,144450,3
512250,145850,20
512350,152450,3
514550,167250,3
514650,146850,3
515050,169350,4
530150,152550,6
530150,151650,3
532550,151650,9
530750,158650,4
531050,159150,7
532150,163650,4
532850,157950,15
532850,161450,4
532850,161950,3
532250,151550,31
533050,158650,5
530850,154150,3
531350,154450,14
532250,151850,3
531350,154850,3
532850,160950,3
532950,161750,12
532950,162050,5
532350,155150,3
533050,158050,3
533150,158050,3
533150,170850,25
